stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
36.093621,Sher48st,-95.904546,5988,,,4808 S Sheridan Rd & E 48th St S,S Sheridan Rd&E 48th St S,0,
36.083292,Ya55Pl,-95.922056,5989,,,5487 S Yale Ave & E 55th Pl S,S Yale Ave&E 55th Pl S,0,
36.101744,Sher42st,-95.904619,5982,,,4214 S Sheridan Rd & E 42nd St S,S Sheridan Rd&E 42nd St S,0,
36.103164,Sher42st,-95.904387,5983,,,4149 S Sheridan Rd & E 42nd St S,S Sheridan Rd&E 42nd St S,0,
36.090495,Sher51st,-95.904275,5980,,,5017 S Sheridan Rd & E 51st St S,E 51st St S&S Sheridan Ave,0,
36.103879,Sher41st,-95.904646,5981,,,4120 S Sheridan Rd & E 41st St S,S Sheridan Rd&E 41st St S,0,
36.091156,Sher50st,-95.904507,5986,,,4924 S Sheridan Rd & E 50th St S,S Sheridan Rd&E 50th St S,0,
36.096453,Sher46st,-95.904572,5987,,,4616 S Sheridan Rd & E 46th St S,S Sheridan Rd&E 46th St S,0,
36.100381,Sher44st,-95.904365,5984,,,4355 S Sheridan Rd & E 44th St S,S Sheridan Rd&E 44th St S,0,
36.098202,Sher46st,-95.904352,5985,,,4501 S Sheridan Rd & E 46th St S,S Sheridan Rd&E 46th St S,0,
36.184149,PeViNB,-95.975668,343,,,N PEORIA AVE & E VIRGIN ST,Peoria & Virgin,0,
36.166526,LewIndp,-95.958101,6150,,,825 N Lewis Ave & E Independance St,N Lewis Ave&E Independance St,0,
36.164696,LewHskS,-95.958087,6151,,,719 N Lewis Ave & E Haskell St,N Lewis Ave&E Haskell St,0,
36.162977,LewArch,-95.958096,6152,,,131 N Lewis Ave & E Archer St,N Lewis Ave&E Archer St,0,
36.191908,LewApch,-95.958097,6153,,,2601 N Lewis Ave & E Apache St,N Lewis Ave&E Apache St,0,
36.191184,LewApch,-95.958314,6154,,,2488 N Lewis Ave & E Apache St,N Lewis Ave&E Apache St,0,
36.161447,LewAdm,-95.958091,6155,,,67 N Lewis Ave & E Admiral Pl,N Lewis Ave&E Admiral Pl,0,
36.150009,Lew8st,-95.958113,6156,,,781 S Lewis Ave & E 8Th St S,S Lewis Ave&E 8Th St S,0,
