block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
a_53094,3598,0,221  21ST STREET / EASTGATE - TO DOWNTOWN,14700,2_merged_140557,140148
a_53093,3598,0,221  21ST STREET / EASTGATE - TO DOWNTOWN,14700,2_merged_140557,140149
a_53091,3598,1,221  21ST STREET / EASTGATE - FROM DOWNTOWN,14701,1_merged_140555,140144
a_53092,3598,1,221  21ST STREET / EASTGATE - FROM DOWNTOWN,14701,1_merged_140555,140145
a_53090,3598,1,221  21ST STREET / EASTGATE - FROM DOWNTOWN,14701,1_merged_140555,140146
a_53093,3598,0,221  21ST STREET / EASTGATE - TO DOWNTOWN,14700,2_merged_140557,140147
a_53090,3598,1,221  21ST STREET / EASTGATE - FROM DOWNTOWN,14701,1_merged_140555,140140
a_53091,3598,1,221  21ST STREET / EASTGATE - FROM DOWNTOWN,14701,1_merged_140555,140141
a_53092,3598,1,221  21ST STREET / EASTGATE - FROM DOWNTOWN,14701,1_merged_140555,140142
a_53090,3598,1,221  21ST STREET / EASTGATE - FROM DOWNTOWN,14701,1_merged_140555,140143
b_52852,3529,1,203 AIRPORT - FROM DOWNTOWN,14373,1_merged_140558,137829
b_52852,3529,1,203 AIRPORT - FROM DOWNTOWN,14373,1_merged_140558,137828
b_52886,3536,0,318  MEMORIAL - NORTHBOUND,14395,2_merged_140560,138219
a_53045,3588,0,101 SUBURBAN ACRES - FROM DOWNTOWN,14644,1_merged_140555,139559
a_53044,3588,0,101 SUBURBAN ACRES - FROM DOWNTOWN,14643,1_merged_140555,139558
b_52854,3529,0,203 AIRPORT - TO DOWNTOWN,14372,1_merged_140558,137820
a_53045,3588,0,101 SUBURBAN ACRES - FROM DOWNTOWN,14645,1_merged_140555,139553
a_53044,3588,0,101 SUBURBAN ACRES - FROM DOWNTOWN,14646,1_merged_140555,139552
a_53046,3588,0,101 SUBURBAN ACRES - FROM DOWNTOWN,14645,1_merged_140555,139551
a_53045,3588,0,101 SUBURBAN ACRES - FROM DOWNTOWN,14646,1_merged_140555,139550
a_53046,3588,0,101 SUBURBAN ACRES - FROM DOWNTOWN,14644,1_merged_140555,139557
a_53045,3588,0,,14799,1_merged_140555,139556
a_53044,3588,0,101 SUBURBAN ACRES - FROM DOWNTOWN,14645,1_merged_140555,139555
a_53046,3588,0,101 SUBURBAN ACRES - FROM DOWNTOWN,14646,1_merged_140555,139554
a_53147,3618,0,902 B.A. EXPRESS - TO DOWNTOWN,14792,1_merged_140555,140549
a_53089,3597,0,215 15TH STREET - TO DOWNTOWN,14698,2_merged_140557,140098
a_53089,3597,0,215 15TH STREET - TO DOWNTOWN,14698,2_merged_140557,140099
a_53087,3597,1,215 15TH STREET - FROM  DOWNTOWN,14699,1_merged_140555,140092
a_53089,3597,0,215 15TH STREET - TO DOWNTOWN,14698,2_merged_140557,140093
a_53087,3597,1,215 15TH STREET - FROM  DOWNTOWN,14699,1_merged_140555,140090
a_53088,3597,1,215 15TH STREET - FROM  DOWNTOWN,14699,1_merged_140555,140091
a_53089,3597,0,215 15TH STREET - TO DOWNTOWN,14698,2_merged_140557,140096
a_53089,3597,0,215 15TH STREET - TO DOWNTOWN,14698,2_merged_140557,140097
a_53089,3597,0,215 15TH STREET - TO DOWNTOWN,14698,2_merged_140557,140094
a_53089,3597,0,215 15TH STREET - TO DOWNTOWN,14698,2_merged_140557,140095
b_52886,3536,0,318  MEMORIAL - NORTHBOUND,14395,2_merged_140560,138217
b_52886,3536,0,318  MEMORIAL - NORTHBOUND,14395,2_merged_140560,138216
a_53109,3602,0,318  MEMORIAL - NORTHBOUND,14714,1_merged_140555,140324
a_53109,3602,0,318  MEMORIAL - NORTHBOUND,14714,1_merged_140555,140325
a_53109,3602,0,318  MEMORIAL - NORTHBOUND,14714,1_merged_140555,140326
a_53110,3602,0,318  MEMORIAL - NORTHBOUND,14714,1_merged_140555,140327
a_53110,3602,0,318  MEMORIAL - NORTHBOUND,14714,1_merged_140555,140320
a_53109,3602,0,318  MEMORIAL - NORTHBOUND,14714,1_merged_140555,140321
a_53109,3602,0,318  MEMORIAL - NORTHBOUND,14714,1_merged_140555,140322
a_53109,3602,0,318  MEMORIAL - NORTHBOUND,14714,1_merged_140555,140323
a_53109,3602,0,318  MEMORIAL - NORTHBOUND,14714,1_merged_140555,140328
a_53110,3602,0,318  MEMORIAL - NORTHBOUND,14714,1_merged_140555,140329
a_53040,3587,0,100 ADMIRAL - TO DOWNTOWN,14639,1_merged_140555,139489
a_53042,3587,0,100 ADMIRAL - TO DOWNTOWN,14639,1_merged_140555,139488
a_53040,3587,0,100 ADMIRAL - TO DOWNTOWN,14639,1_merged_140555,139483
a_53042,3587,0,100 ADMIRAL - TO DOWNTOWN,14639,1_merged_140555,139485
a_53041,3587,0,100 ADMIRAL - TO DOWNTOWN,14639,1_merged_140555,139484
a_53041,3587,0,100 ADMIRAL - TO DOWNTOWN,14639,1_merged_140555,139487
a_53040,3587,0,100 ADMIRAL - TO DOWNTOWN,14639,1_merged_140555,139486
a_53066,3591,0,112 LEWIS/JENKS - NORTHBOUND,14673,2_merged_140557,139809
a_53065,3591,0,112 LEWIS/JENKS - NORTHBOUND,14673,2_merged_140557,139808
a_53063,3591,1,112 LEWIS/JENKS - SOUTHBOUND,14677,1_merged_140555,139805
a_53062,3591,1,112 LEWIS/JENKS - SOUTHBOUND,14676,1_merged_140555,139804
a_53066,3591,0,112 LEWIS/JENKS - NORTHBOUND,14673,2_merged_140557,139807
a_53065,3591,0,112 LEWIS/JENKS - NORTHBOUND,14673,2_merged_140557,139806
a_53063,3591,1,112 LEWIS/JENKS - SOUTHBOUND,14676,1_merged_140555,139801
a_53062,3591,1,112 LEWIS/JENKS - SOUTHBOUND,14676,1_merged_140555,139800
a_53061,3591,1,112 LEWIS/JENKS - SOUTHBOUND,14676,1_merged_140555,139803
a_53064,3591,1,112 LEWIS/JENKS - SOUTHBOUND,14676,1_merged_140555,139802
a_53044,3588,1,101 SUBURBAN ACRES - TO DOWNTOWN,14653,1_merged_140555,139597
a_53122,3606,0,840  NORTH NIGHTLINE - FROM DOWNTOWN,14760,2_merged_140557,140453
a_53121,3606,1,840  NORTH NIGHTLINE - TO DOWNTOWN,14761,1_merged_140555,140450
a_53058,3590,0,111 11TH STREET - TO DOWNTOWN,14671,1_merged_140555,139733
a_53058,3590,0,111 11TH STREET - TO DOWNTOWN,14671,1_merged_140555,139732
a_53059,3590,0,111 11TH STREET - TO DOWNTOWN,14671,1_merged_140555,139731
a_53058,3590,0,111 11TH STREET - TO DOWNTOWN,14671,1_merged_140555,139730
a_53059,3590,0,111 11TH STREET - TO DOWNTOWN,14671,1_merged_140555,139737
a_53059,3590,0,111 11TH STREET - TO DOWNTOWN,14671,1_merged_140555,139736
a_53059,3590,0,111 11TH STREET - TO DOWNTOWN,14671,1_merged_140555,139735
a_53059,3590,0,111 11TH STREET - TO DOWNTOWN,14671,1_merged_140555,139734
a_53058,3590,1,111 11TH STREET - FROM DOWNTOWN,14672,1_merged_140555,139739
a_53059,3590,0,111 11TH STREET - TO DOWNTOWN,14671,1_merged_140555,139738
a_53122,3606,1,840  NORTH NIGHTLINE - TO DOWNTOWN,14761,2_merged_140557,140454
a_53067,3592,1,,14685,1_merged_140555,139841
a_53122,3606,1,840  NORTH NIGHTLINE - TO DOWNTOWN,14761,2_merged_140557,140455
b_52885,3536,0,318  MEMORIAL - NORTHBOUND,14395,1_merged_140558,138190
b_52885,3536,0,318  MEMORIAL - NORTHBOUND,14395,1_merged_140558,138191
b_52884,3536,0,318  MEMORIAL - NORTHBOUND,14395,1_merged_140558,138192
b_52885,3536,1,318  MEMORIAL - SOUTHBOUND,14397,1_merged_140558,138193
b_52884,3536,1,318  MEMORIAL - SOUTHBOUND,14397,1_merged_140558,138194
b_52885,3536,1,318  MEMORIAL - SOUTHBOUND,14397,1_merged_140558,138195
b_52884,3536,1,318  MEMORIAL - SOUTHBOUND,14397,1_merged_140558,138196
b_52884,3536,1,318  MEMORIAL - SOUTHBOUND,14397,1_merged_140558,138197
b_52884,3536,1,318  MEMORIAL - SOUTHBOUND,14397,1_merged_140558,138198
b_52884,3536,1,318  MEMORIAL - SOUTHBOUND,14397,1_merged_140558,138199
a_53075,3594,1,118 33RD WEST AVENUE - TO DOWNTOWN,14690,1_merged_140555,139939
a_53073,3594,1,118 33RD WEST AVENUE - TO DOWNTOWN,14690,1_merged_140555,139938
b_52857,3530,1,210 HARVARD - TO DOWNTOWN,14377,1_merged_140558,137889
b_52859,3530,1,210 HARVARD - TO DOWNTOWN,14377,1_merged_140558,137888
a_53068,3592,1,,14684,1_merged_140555,139840
a_53073,3594,1,118 33RD WEST AVENUE - TO DOWNTOWN,14690,1_merged_140555,139931
a_53074,3594,1,118 33RD WEST AVENUE - TO DOWNTOWN,14690,1_merged_140555,139930
a_53073,3594,1,118 33RD WEST AVENUE - TO DOWNTOWN,14690,1_merged_140555,139933
a_53074,3594,1,118 33RD WEST AVENUE - TO DOWNTOWN,14690,1_merged_140555,139932
b_52858,3530,1,210 HARVARD - TO DOWNTOWN,14377,1_merged_140558,137887
a_53073,3594,1,118 33RD WEST AVENUE - TO DOWNTOWN,14690,1_merged_140555,139934
a_53075,3594,1,118 33RD WEST AVENUE - TO DOWNTOWN,14690,1_merged_140555,139937
a_53073,3594,1,118 33RD WEST AVENUE - TO DOWNTOWN,14690,1_merged_140555,139936
b_52874,3533,1,222  PINE / 41ST STREET - COUNTERCLOCK,14388,1_merged_140558,138042
b_52875,3533,1,222  PINE / 41ST STREET - COUNTERCLOCK,14387,1_merged_140558,138043
b_52872,3533,0,222  PINE / 41ST STREET - CLOCKWISE,14386,1_merged_140558,138040
b_52873,3533,1,222  PINE / 41ST STREET - COUNTERCLOCK,14388,1_merged_140558,138041
b_52875,3533,1,222  PINE / 41ST STREET - COUNTERCLOCK,14387,1_merged_140558,138046
b_52873,3533,1,222  PINE / 41ST STREET - COUNTERCLOCK,14387,1_merged_140558,138047
b_52873,3533,1,222  PINE / 41ST STREET - COUNTERCLOCK,14387,1_merged_140558,138044
b_52874,3533,1,222  PINE / 41ST STREET - COUNTERCLOCK,14387,1_merged_140558,138045
b_52874,3533,1,222  PINE / 41ST STREET - COUNTERCLOCK,14387,1_merged_140558,138048
b_52875,3533,1,222  PINE / 41ST STREET - COUNTERCLOCK,14387,1_merged_140558,138049
b_52893,3538,1,508 BROKEN ARROW CONNECTION - CLOCKWISE,14420,1_merged_140558,138284
b_52893,3538,1,508 BROKEN ARROW CONNECTION - CLOCKWISE,14422,1_merged_140558,138285
b_52893,3538,1,508 BROKEN ARROW CONNECTION - CLOCKWISE,14417,1_merged_140558,138280
b_52893,3538,1,508 BROKEN ARROW CONNECTION - CLOCKWISE,14418,1_merged_140558,138281
b_52893,3538,1,508 BROKEN ARROW CONNECTION - CLOCKWISE,14419,1_merged_140558,138282
b_52893,3538,1,508 BROKEN ARROW CONNECTION - CLOCKWISE,14420,1_merged_140558,138283
b_52838,3525,0,112 LEWIS/JENKS - NORTHBOUND,14354,1_merged_140558,137641
b_52837,3525,0,112 LEWIS/JENKS - NORTHBOUND,14354,1_merged_140558,137640
b_52836,3525,0,112 LEWIS/JENKS - NORTHBOUND,14355,1_merged_140558,137643
b_52839,3525,0,112 LEWIS/JENKS - NORTHBOUND,14354,1_merged_140558,137642
b_52838,3525,1,112 LEWIS/JENKS - SOUTHBOUND,14357,1_merged_140558,137645
b_52837,3525,1,112 LEWIS/JENKS - SOUTHBOUND,14360,1_merged_140558,137644
b_52836,3525,1,112 LEWIS/JENKS - SOUTHBOUND,14357,1_merged_140558,137647
b_52839,3525,1,112 LEWIS/JENKS - SOUTHBOUND,14357,1_merged_140558,137646
b_52838,3525,1,112 LEWIS/JENKS - SOUTHBOUND,14357,1_merged_140558,137649
b_52837,3525,1,112 LEWIS/JENKS - SOUTHBOUND,14357,1_merged_140558,137648
b_52858,3530,0,210 HARVARD - FROM DOWNTOWN,14374,1_merged_140558,137869
b_52857,3530,0,210 HARVARD - FROM DOWNTOWN,14374,1_merged_140558,137868
b_52822,3522,0,101 SUBURBAN ACRES - FROM DOWNTOWN,14329,2_merged_140560,137469
b_52823,3522,0,101 SUBURBAN ACRES - FROM DOWNTOWN,14328,2_merged_140560,137468
b_52822,3522,0,101 SUBURBAN ACRES - FROM DOWNTOWN,14329,2_merged_140560,137461
b_52820,3522,1,101 SUBURBAN ACRES - TO DOWNTOWN,14337,1_merged_140558,137460
b_52822,3522,0,101 SUBURBAN ACRES - FROM DOWNTOWN,14329,2_merged_140560,137463
b_52823,3522,0,101 SUBURBAN ACRES - FROM DOWNTOWN,14328,2_merged_140560,137462
b_52822,3522,0,101 SUBURBAN ACRES - FROM DOWNTOWN,14329,2_merged_140560,137465
b_52823,3522,0,101 SUBURBAN ACRES - FROM DOWNTOWN,14328,2_merged_140560,137464
b_52822,3522,0,101 SUBURBAN ACRES - FROM DOWNTOWN,14329,2_merged_140560,137467
b_52823,3522,0,101 SUBURBAN ACRES - FROM DOWNTOWN,14328,2_merged_140560,137466
b_52828,3523,0,105 PEORIA - NORTHBOUND,14340,1_merged_140558,137515
b_52825,3523,0,105 PEORIA - NORTHBOUND,14340,1_merged_140558,137514
b_52827,3523,0,105 PEORIA - NORTHBOUND,14339,1_merged_140558,137517
