stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1,Ci61SB,MLK JR BLVD  & 61ST ST N,N.CINCINNATI AVE & E 61ST ST N,36.243002,-95.993561,,,,
63,Ch5S,CHEYENNE/5TH S-NW,,36.150329,-95.992557,,,,
133,WHM,WOODLAND HILLS MALL,WOODLAND HILLS MALL & E 68TH ST S,36.065248,-95.882372,,,,
153,Me21N,S MEMORIAL DR&E 21ST ST S,N MEMORIAL DR & E 21ST ST S,36.133224,-95.886407,,,,
257,Me32S,S MEMORIAL DR&E 31ST ST S,S MEMORIAL DR & E 31ST PL S,36.117131,-95.886759,,,,
267,Me51S,S MEMORIAL DR&E 51ST ST S,S MEMORIAL DR & E 51ST ST S,36.089664,-95.886645,,,,
276,WLM 81ST,81ST STREET WAL-MART,S YORKTOWN AVE & E 81ST ST S,36.046921,-95.960904,,,,
287,InPlNB,INHOFE PLAZA,S NEWPORT AVE & E 66TH PL S,36.067526,-95.977872,,,,
304,Pe41NB,S PEORIA AVE&E 41ST  ST S,S PEORIA AVE & E 41ST ST S,36.104536,-95.97551,,,,
320,Pe11NB,S PEORIA AVE&E 11TH ST S,S PEORIA AVE & E 11TH ST S,36.14771,-95.975433,,,,
343,PeViNB,PEORIA & VIRGIN,N PEORIA AVE & E VIRGIN ST,36.184149,-95.975668,,,,
396,6BosEB,E 6TH ST S&S BOSTON AVE,S BOSTON AVE & E 6TH ST S,36.150903,-95.98823,,,,
403,Pe6S,PEORIA/6TH S-SW,,36.151968,-95.975762,,,,
406,Pe11SB,PEORIA & 11TH ST S,S PEORIA AVE & E 11TH ST S,36.147637,-95.975836,,,,
426,Pe41SB,S PEORIA AVE&E 41ST ST S,S PEORIA AVE & E 41ST ST S,36.104151,-95.975878,,,,
530,11thGarn,11TH & GARNETT,S GARNETT RD & E 11TH ST S,36.147697,-95.850881,,,,
548,11/SherW,E 11TH ST S&S SHERIDAN RD,S SHERIDAN AVE & E 11TH ST S,36.148086,-95.904735,,,,
555,11YalWB,E 11TH ST S&S YALE AVE,S YALE AVE & E 11TH ST S,36.147875,-95.922387,,,,
575,11UtWB,E 11TH ST S&S UTICA AVE,S UTICA AVE & E 11TH ST S,36.147916,-95.967325,,,,
579,11PeWB,11TH/PEORIA W-NW,,36.148119,-95.975928,,,,
732,Le81NB,LEWIS & 81ST ST S,S LEWIS AVE & E 81ST ST S,36.046443,-95.957487,,,,
745,Le51N,LEWIS & 51ST ST S,S LEWIS AVE & E 51ST ST S,36.089868,-95.957469,,,,
764,Le21NB,LEWIS & 21ST ST S,S LEWIS AVE & E 21ST ST S,36.132827,-95.957809,,,,
791,ApLeEB,APACHE & LEWIS,N LEWIS AVE & E APACHE ST,36.191286,-95.957515,,,,
795,TCC NE,TULSA COMMUNITY COLLEGE - NE CAMPUS,N HARVARD AVE & E 30TH ST N,36.193949,-95.938692,,,,
826,Le21SB,LEWIS & 21ST ST S,S LEWIS AVE & E 22ND ST S,36.13255,-95.957798,,,,
849,Le81SB,LEWIS & 81ST ST S,S LEWIS AVE & E 81ST ST S,36.046166,-95.957498,,,,
1033,15Bu,15TH & BOULDER,S BOULDER AVE & E 15TH ST S,36.140398,-95.98782,,,,
1063,15/ShE,S SHERIDAN RD&E 15TH ST S,S SHERIDAN AVE & E 15TH ST S,36.140194,-95.904389,,,,
1208,SW25,SOUTHWEST BLD/25TH,,36.125949,-96.006588,,,,
1244,49/Jack,49TH/JACKSON EB,,36.092065,-95.999786,,,,
1286,StFrSB,ST. FRANCIS HOSPITAL,,36.073116,-95.918109,,,,
1322,21UtEB,21ST ST S & UTICA,S UTICA AVE & E 21ST ST S,36.133227,-95.96679,,,,
1455,PiYaWB,E PINE ST&N YALE AVE,N YALE AVE & E PINE ST,36.177207,-95.922676,,,,
1469,PiLeWB,E PINE ST&N LEWIS AVE,N LEWIS AVE & E PINE ST,36.177268,-95.958376,,,,
1490,21UtSB,E 21ST ST S&S UTICA AVE,S UTICA AVE & E 21ST ST S,36.132798,-95.96679,,,,
1593,21BoEB,S BOULDER AVE&W 21ST ST S,W 21ST ST S & S BOULDER AVE,36.133328,-95.988813,,,,
1601,Ut21NB,S UTICA AVE&E 21ST ST S,S UTICA AVE & E 21ST ST S,36.133093,-95.966611,,,,
1655,MeAPN,MEMORIAL & ADMIRAL,N MEMORIAL DR & E ADMIRAL PL,36.160635,-95.886194,,,,
1697,Ha41NB,S HARVARD AVE&E 41ST ST S,S HARVARD AVE & E 41ST ST S,36.104247,-95.939697,,,,
1857,PiCiWB,E PINE ST & MARTIN LUTHER KING JR BLVD,N CINCINNATI AVE & E PINE ST,36.177018,-95.994985,,,,
1890,Ha21SB,S HARVARD AVE&E 21ST ST S,S HARVARD AVE & E 21ST ST S,36.133027,-95.940493,,,,
1944,Pine/Mem,PINE & MEMORIAL,N MEMORIAL DR & E PINE ST,36.176957,-95.886448,,,,
1952,137/24pl,S 137TH E AVE &E 24TH PL,S 137TH E AVE & E 24TH PL,36.127287,-95.823415,,,,
1968,31MeWB,S MEMORIAL DR&E 31ST ST S,S MEMORIAL DR & E 31ST ST S,36.118595,-95.886717,,,,
2151,ViRoEB,VIRGIN & ROCKFORD,,36.184221,-95.971741,,,,
2179,36NPeEB,36TH ST N & PEORIA,N PEORIA AVE & E 36TH ST N,36.205791,-95.975209,,,,
2264,Adm/129,E ADMIRAL PL&N 129TH E AVE,S 129TH E AVE & E ADMIRAL PL,36.16043,-95.833195,,,,
2280,Bos6N,BOSTON/6TH N-NE,,36.151202,-95.988344,,,,
2454,Ba  145,BATTLE CREEK CHURCH,S 145TH E AVE & W GRANGER ST N,36.08521,-95.814026,,,,
2456,Bo7NB,S BOSTON AVE&E 7TH ST S,S BOSTON AVE & E 7TH ST S,36.149559,-95.987468,,,,
2457,1MaiWB,1ST ST S & MAIN,S MAIN ST & E 1ST ST S,36.155623,-95.991511,,,,
2458,Ma10SB,S MAIN ST&W 10TH ST S,S MAIN ST & E 10TH ST S,36.146416,-95.987252,,,,
2645,TCC  SE,TULSA COMMUNITY COLLEGE SOUTH CAMPUS,,36.045621,-95.863307,,,,
2646,Ci-61NB,MARTIN LUTHER KING JR BLVD & 61ST ST N,N CINCINNATI AVE & E 61ST ST N,36.243087,-95.993096,,,,
2649,WeViEW,WESTVIEW CLINIC,N CINCINNATI AVE & E 36TH ST N,36.206349,-95.995284,,,,
2713,10MaWB,10TH & MAIN,S MAIN ST & E 10TH ST S,36.146416,-95.987252,,,,
2740,Chy5SB,5TH & CHEYENNE,S CHEYENNE AVE & W 5TH ST S,36.150361,-95.992111,,,,
2745,Ma10EB,MAIN & 10TH ST S,S MAIN ST & E 10TH ST S,36.146416,-95.987252,,,,
2757,InhofePl,INHOFE PLAZA,S NEWPORT AVE & E 64TH ST S,36.070258,-95.977916,,,,
2786,Un41NB,UNION/41ST N-NE,W 41ST ST & S UNION AVE,36.104287,-96.01114,,,,
2896,DBAY11,DAS BAY 11,,36.15199,-95.993254,,,,
3107,Le36NN,36TH ST N & LEWIS AVE,N LEWIS AVE & E 36 ST N,36.205994,-95.957892,,,,
3130,ApYaEB,YALE & APACHE,N YALE AVE & E APACHE ST,36.191645,-95.922641,,,,
3164,51  129,51ST/129TH E AV E-NE,E 51ST ST & S 129 EAST AVE,36.089692,-95.832799,,,,
3175,61  MENE,S MEMORIAL DR&E 61ST ST S,E 61ST ST & S MEMORIAL DR,36.075368,-95.886273,,,,
3194,YA41SB,S YALE AVE&E 41ST ST S,S YALE AVE & E 41ST ST S,36.10414,-95.921842,,,,
3200,Le88SB,S LEWIS AVE & E 88TH ST S,S LEWIS AVE & E MAGNOLIA DR,36.036109,-95.954687,,,,
3212,49Den-W,49TH ST N & DENVER,N DENVER AVE & W 49 ST N,36.224094,-95.997089,,,,
3213,Hart56NB,HARTFORD & 56TH ST N,E 56 ST N & N GARRISON PL,36.235013,-95.985345,,,,
3224,49WWMSB,49TH W AVE WAREHOUSE MKT,S 49TH W AVE & E CHARLES PAGE BLVD,36.14988,-96.046669,,,,
3237,EdGiWB,GILCREASE DR & EDISON,N 125TH W AVE & W EDISON ST,36.161224,-96.019778,,,,
3238,GiCPBSB,CHARLES PAGE BLVD & 25TH W AVE,S 25TH W AVE & E CHARLES PAGE BLVD,36.15174,-96.020164,,,,
3239,CP65WB,65TH W AVE. & CHARLES PAGE BLVD,S 65TH W AVE & E CHARLES PAGE BLVD,36.147343,-96.064803,,,,
3250,Bd21SB,S BOULDER AVE W & W 21ST ST S,S BOULDER AVE & W 21ST ST S,36.132882,-95.98871,,,,
3257,PiYaEB,E PINE ST&N YALE AVE,N YALE AVE & E PINE ST,36.177029,-95.922115,,,,
3260,41GaEB,E 41ST ST S&S GARNETT RD,,36.104574,-95.850938,,,,
3282,21BoWB,W 21ST ST S&S BOULDER,S BOULDER AVE & W 21ST ST S,36.132972,-95.988598,,,,
3299,Sh51SB,S SHERIDAN RD&E 51ST ST S,,36.090437,-95.904678,,,,
3590,Wh73N,73RD ST S & WHEELING AVE,S WHEELING AVE & E 73RD ST S,36.057539,-95.963587,,,,
3612,137/24S,137TH EA/24TH S-SW,S 137TH E AVE & E 24TH ST S,36.128894,-95.823059,,,,
3641,StFrNB,ST. FRANCIS HOSPITAL,S ST FRANCIS DR & E 63RD ST S,36.073116,-95.918109,,,,
3732,Ch5SB,CHEYENNE AVE & 5TH ST S,S CHEYENNE AVE & W 5TH ST S,36.150491,-95.992378,,,,
3747,3Lew-WB,3RD/LEWIS W-NW,,36.156747,-95.959169,,,,
3805,PiMeW,E PINE ST&MEMORIAL,N MEMORIAL DR & E PINE ST,36.177144,-95.886808,,,,
3912,49WTaW,49TH W/TACOMA W-NW,,36.092423,-96.009847,,,,
3915,Un61S,UNION/61ST W S-SW,,36.075804,-96.011556,,,,
3918,71ShE,E 71ST ST S&S SHERIDAN RD,71ST & SHERIDAN E -SE,36.061006,-95.905176,,,,
4012,OsFa,FAIRVIEW OSAGE,N OSAGE DR & W FAIRVIEW ST,36.162763,-96.001725,,,,
4037,Pitt4 th,E 4TH ST S& PITTSBURGH AVE,S PITTSBURGH AVE & E 4TH ST S,36.155965,-95.931395,,,,
4085,Pe  46N,46TH ST N & PEORIA,N PEORIA AVE & E 46TH ST N,36.220312,-95.975329,,,,
4109,AquJ,JENKS AQUARIUM,AQUARIUM DR & E 101ST ST S,36.019758,-95.959349,,,,
4114,MainElJ,MAIN & ELM,S ELM ST & E MAIN ST,36.022435,-95.975511,,,,
4116,JaCC,COUNTRY CLUB DR &W JASPER ST,COUNTRY CLUB DR & W JASPER ST,36.167117,-96.002999,,,,
4120,Union ,73RD ST S & 112TH E AVE,S GARNETT RD & E 75TH PL S,36.053196,-95.851137,,,,
4123,73rd 112,73RD ST S & 112TH E AVE,E 73RD ST & S 109 EAST AVE,36.058797,-95.853164,,,,
4129,46th Min,S MINGO RD&E 46TH ST S,,36.094637,-95.868984,,,,
4131,101/Elm,101ST S & ELM,S ELM PL & W NEW ORLEANS ST,36.016565,-95.797626,,,,
4132,Ken/Aspe,N ASPEN AVE&W KENOSHA,N ASPEN AVE & W KENOSHA ST,36.060877,-95.814779,,,,
4133,Ken/Main,KENOSHA & MAIN,N MAIN ST & E KENOSHA ST,36.06089,-95.79037,,,,
